Entry Date,ID,Exit Date,Pages Viewed,Conversion
2015-01-01 12:44:01,8634245822155741184,2015-01-01 12:45:34,10,No
2015-01-01 12:44:39,3228955327217565696,2015-01-01 12:44:48,1,No
2015-01-01 12:44:04,5762811465747867648,2015-01-01 12:44:18,1,No
2015-01-01 12:44:54,3450666341073981440,2015-01-01 12:46:39,6,No
2015-01-01 12:46:09,1068369467535431680,2015-01-01 12:48:40,8,No
2015-01-01 12:46:44,3379142832134438912,2015-01-01 12:46:48,1,No
2015-01-01 12:47:38,8491058329841585152,2015-01-01 12:48:50,12,Yes
2015-01-01 12:50:04,2101478891006439424,2015-01-01 12:52:02,10,No
2015-01-01 12:50:44,6330384312278807552,2015-01-01 12:53:57,6,No
2015-01-01 12:51:42,5590788709587289088,2015-01-01 12:53:14,3,No
2015-01-01 12:51:58,9091772545293281280,2015-01-01 12:51:58,1,No
2015-01-01 12:54:34,4189042897831493632,2015-01-01 12:54:40,1,No
2015-01-01 12:54:26,8014008265147612160,2015-01-01 12:55:31,9,No
2015-01-01 12:54:52,7869475938453142528,2015-01-01 12:57:55,6,No
2015-01-01 12:56:39,939481942083769344,2015-01-01 12:57:46,3,No
2015-01-01 12:56:59,8756374443594259456,2015-01-01 12:59:05,5,No
2015-01-01 12:58:30,4425451289467154432,2015-01-01 12:58:41,1,No
2015-01-01 12:58:32,1928281111551883264,2015-01-01 12:59:34,3,No
2015-01-01 12:59:19,512865360757885952,2015-01-01 13:00:31,8,No
2015-01-01 12:59:31,541711580562437120,2015-01-01 13:02:17,9,No
2015-01-01 13:00:06,20978849417936896,2015-01-01 13:03:09,4,No
2015-01-01 13:01:02,7660594541969759232,2015-01-01 13:07:24,6,No
2015-01-01 13:02:35,1395734434181067776,2015-01-01 13:09:53,9,No
2015-01-01 13:03:52,5778672869814323200,2015-01-01 13:04:19,1,No
2015-01-01 13:06:48,2190336699867794432,2015-01-01 13:29:51,11,Yes
2015-01-01 13:05:38,726007998685171712,2015-01-01 13:07:54,5,No
2015-01-01 13:05:12,5512341876739049472,2015-01-01 13:08:14,10,No
2015-01-01 13:06:33,7947537199315299328,2015-01-01 13:06:36,1,No
2015-01-01 13:06:39,8049140976081099776,2015-01-01 13:06:44,1,No
2015-01-01 13:07:45,3828055748342126592,2015-01-01 13:07:57,1,No
2015-01-01 13:07:16,2474719928356938752,2015-01-01 13:07:31,1,No
2015-01-01 13:07:52,6278438867578768384,2015-01-01 13:09:08,3,No
2015-01-01 13:08:43,7905339520135711744,2015-01-01 13:12:59,7,No
2015-01-01 13:09:05,7133172841343384576,2015-01-01 13:09:20,1,No
2015-01-01 13:09:37,1872416112240760832,2015-01-01 13:09:43,1,No
2015-01-01 13:10:18,9214982746135430144,2015-01-01 13:11:27,5,No
2015-01-01 13:10:22,996227198156794880,2015-01-01 13:15:20,10,No
2015-01-01 13:10:30,4402509510732690432,2015-01-01 13:12:47,3,No
2015-01-01 13:11:08,4068544839342026752,2015-01-01 13:14:36,9,No
2015-01-01 13:11:28,698103355028681728,2015-01-01 13:11:29,1,No
2015-01-01 13:11:57,7145773486672768000,2015-01-01 13:14:00,7,No
2015-01-01 13:13:30,964547922247517184,2015-01-01 13:15:16,4,No
2015-01-01 13:13:51,1033719516456182784,2015-01-01 13:31:46,10,Yes
2015-01-01 13:15:00,654607429294052352,2015-01-01 13:16:25,5,No
2015-01-01 13:14:28,3833312453192880128,2015-01-01 13:17:00,5,Yes
2015-01-01 13:17:30,792431365104724992,2015-01-01 13:18:44,8,No
2015-01-01 13:16:00,8568272877267960832,2015-01-01 13:17:22,5,No
2015-01-01 13:16:12,7946281798479964160,2015-01-01 13:16:48,1,No
2015-01-01 13:17:57,6528550719905746944,2015-01-01 13:20:26,2,No
2015-01-01 13:18:31,4926095723685446656,2015-01-01 13:20:24,4,No
2015-01-01 13:19:28,6889686565452063744,2015-01-01 13:21:44,10,No
2015-01-01 13:19:35,9076460223063991296,2015-01-01 13:21:43,1,No
2015-01-01 13:21:53,1908116512418030592,n/a,5,No
2015-01-01 13:22:07,4305792215682296832,2015-01-01 13:25:42,5,No
2015-01-01 13:23:13,2524132867360568320,2015-01-01 13:23:13,1,No
2015-01-01 13:22:35,6231844286218603520,2015-01-01 13:27:39,3,No
2015-01-01 13:24:08,7701850904638939136,2015-01-01 13:24:31,1,No
2015-01-01 13:23:38,4457597829576961024,2015-01-01 13:24:56,6,No
2015-01-01 13:24:14,6752041510498921472,2015-01-01 13:24:18,1,No
2015-01-01 13:24:15,6874919435206465536,n/a,1,No
2015-01-01 13:24:36,5663069120569549824,2015-01-01 13:25:38,1,No
2015-01-01 13:25:13,4581853876165622784,2015-01-01 13:28:07,10,No
2015-01-01 13:27:06,1246263728414106624,2015-01-01 13:32:14,10,No
2015-01-01 13:27:28,4660357295756858368,2015-01-01 13:27:39,1,No
2015-01-01 13:27:55,6802117266317201408,2015-01-01 13:32:33,6,No
2015-01-01 13:28:22,3522643137446672384,2015-01-01 13:29:56,10,No
2015-01-01 13:28:59,8236989478984743936,2015-01-01 13:30:42,8,No
2015-01-01 13:29:09,2987095954824199168,2015-01-01 13:30:50,5,No
2015-01-01 13:29:38,1520163604927550464,2015-01-01 13:32:07,9,No
2015-01-01 13:31:43,9030277657991694336,2015-01-01 13:32:59,7,Yes
2015-01-01 13:32:44,8414974034176474112,2015-01-01 13:32:48,1,No
2015-01-01 13:31:45,421362170620341248,n/a,1,No
2015-01-01 13:31:56,3609531296333369344,2015-01-01 13:31:58,1,No
2015-01-01 13:34:10,2318092886951726080,2015-01-01 13:36:58,3,No
2015-01-01 13:34:22,3098603521391949824,2015-01-01 13:43:31,7,Yes
2015-01-01 13:34:26,3444294413375595520,2015-01-01 13:35:32,6,No
2015-01-01 13:34:26,4342198115793169408,2015-01-01 13:35:37,4,No
2015-01-01 13:34:58,5350242314743582720,2015-01-01 13:35:12,1,No
2015-01-01 13:35:00,4183330727011468288,2015-01-01 13:39:15,3,No
2015-01-01 13:36:13,3330035228471878656,2015-01-01 13:39:43,8,No
2015-01-01 13:36:47,3839058439155098624,2015-01-01 13:38:40,2,No
2015-01-01 13:36:53,8529569865783812096,2015-01-01 13:41:33,13,Yes
2015-01-01 13:37:00,3750591062460906496,2015-01-01 13:38:07,4,No
2015-01-01 13:37:04,5164388372687311872,2015-01-01 13:38:51,4,No
2015-01-01 13:37:57,446551615683076096,2015-01-01 13:40:11,4,No
2015-01-01 13:38:18,2293705015308221440,2015-01-01 13:51:29,4,Yes
2015-01-01 13:39:17,537115631924696064,2015-01-01 13:43:38,2,No
2015-01-01 13:40:59,3013522964994699264,2015-01-01 13:42:56,9,No
2015-01-01 13:41:06,2727173053889734656,2015-01-01 13:42:11,9,No
2015-01-01 13:42:16,2375161884095038464,n/a,1,No
2015-01-01 13:44:20,8975260219364667392,2015-01-01 13:45:21,2,No
2015-01-01 13:43:50,2735449222043827200,2015-01-01 13:47:12,16,Yes
2015-01-01 13:44:36,1708018280886625280,2015-01-01 13:48:59,5,No
2015-01-01 13:46:21,7061271538924085248,n/a,1,No
2015-01-01 13:47:04,1328670460242332672,2015-01-01 13:54:40,2,No
2015-01-01 13:48:31,2990290281467510784,2015-01-01 13:53:18,9,No
2015-01-01 13:50:28,8349808248254808064,2015-01-01 13:52:07,7,No
2015-01-01 13:50:11,5945330764549683200,2015-01-01 13:53:03,6,No
2015-01-01 13:50:38,4667674858820835328,2015-01-01 13:53:14,1,No
2015-01-01 13:51:18,7890089520331064320,2015-01-01 14:04:28,19,Yes
2015-01-01 13:51:03,806493290077937664,2015-01-01 13:51:05,1,No
2015-01-01 13:51:14,1002697936091352064,2015-01-01 14:15:13,15,Yes
2015-01-01 13:51:59,6947189688906184704,2015-01-01 13:52:06,1,No
2015-01-01 13:52:14,4957930965565588480,2015-01-01 13:52:30,1,No
2015-01-01 13:52:34,5373695077965353984,2015-01-01 13:52:40,1,No
2015-01-01 13:53:33,1627227594693175296,2015-01-01 13:55:00,8,No
2015-01-01 13:53:24,1335050245164670976,2015-01-01 13:55:23,20,Yes
2015-01-01 13:52:36,3073026997495075840,2015-01-01 13:54:39,3,No
2015-01-01 13:53:20,7291151952477833216,2015-01-01 13:54:36,9,No
2015-01-01 13:53:38,4136850985733632000,2015-01-01 13:53:39,1,No
2015-01-01 13:54:13,1774735063399916544,2015-01-01 13:56:25,8,No
2015-01-01 13:55:45,183095194467047424,2015-01-01 13:55:45,1,No
2015-01-01 13:57:45,3475267003911054336,n/a,7,No
2015-01-01 13:58:47,6826716971538768896,2015-01-01 13:59:54,9,No
2015-01-01 13:58:44,6670200273062304768,2015-01-01 14:08:28,5,Yes
2015-01-01 13:59:40,2777524140487026688,2015-01-01 13:59:44,1,No
2015-01-01 14:00:21,1431434462604916736,2015-01-01 14:00:26,1,No
2015-01-01 14:01:02,1438735078565409792,2015-01-01 14:03:58,2,No
2015-01-01 14:01:08,1977777622382210048,2015-01-01 14:04:24,5,No
2015-01-01 14:01:40,6895372295515421696,2015-01-01 14:08:50,5,Yes
2015-01-01 14:01:35,881799961742608384,2015-01-01 14:07:04,15,Yes
2015-01-01 14:01:36,4647406751761208320,2015-01-01 14:16:23,17,Yes
2015-01-01 14:01:38,4810050995979633664,2015-01-01 14:03:36,9,No
2015-01-01 14:03:30,6257176584687902720,2015-01-01 14:05:15,3,No
2015-01-01 14:03:47,6616244880354183168,2015-01-01 14:12:14,1,No
2015-01-01 14:03:51,7503349771689835520,2015-01-01 14:05:01,10,Yes
2015-01-01 14:05:14,988215684176374784,2015-01-01 14:05:23,1,No
2015-01-01 14:06:16,5285510587013155840,n/a,1,No
2015-01-01 14:06:41,1653024071168870400,2015-01-01 14:15:10,5,No
2015-01-01 14:08:08,4440538093876107264,2015-01-01 14:11:00,5,No
2015-01-01 14:08:11,3556023516645310464,2015-01-01 14:08:18,1,No
2015-01-01 14:08:59,4499296627977718784,2015-01-01 14:10:10,2,No
2015-01-01 14:08:57,3197218276439047168,2015-01-01 14:13:37,8,No
2015-01-01 14:10:31,3513307340493357056,2015-01-01 14:12:34,1,No
2015-01-01 14:10:51,5887849943546849280,2015-01-01 14:12:17,9,No
2015-01-01 14:12:42,2043693608887325696,2015-01-01 14:16:12,6,No
2015-01-01 14:12:14,4030737238638620672,2015-01-01 14:13:58,4,No
2015-01-01 14:13:06,2145966049157970944,2015-01-01 14:21:48,3,Yes
2015-01-01 14:13:04,4761497092648901632,2015-01-01 14:15:45,12,Yes
2015-01-01 14:12:48,2310047871964411904,2015-01-01 14:14:19,4,No
2015-01-01 14:13:40,8923510898354010112,2015-01-01 14:13:41,1,No
2015-01-01 14:13:43,5797419749477234688,2015-01-01 14:15:16,4,No
2015-01-01 14:14:21,8107407199625117696,n/a,14,Yes
2015-01-01 14:14:04,15814627725908992,2015-01-01 14:16:47,8,No
2015-01-01 14:14:44,7349407068557271040,2015-01-01 14:19:41,5,No
2015-01-01 14:16:48,2945581154066529280,2015-01-01 14:17:39,1,No
2015-01-01 14:16:12,7051564945959385088,2015-01-01 14:18:27,6,No
2015-01-01 14:17:54,5188155272301969408,2015-01-01 14:19:49,14,Yes
2015-01-01 14:17:30,6936014300084669440,2015-01-01 14:19:26,6,No
2015-01-01 14:17:46,5080246696041948160,2015-01-01 14:21:45,10,No
2015-01-01 14:18:37,2900484649352103936,2015-01-01 14:19:53,1,No
2015-01-01 14:18:25,117284760811896832,2015-01-01 14:19:57,3,No
2015-01-01 14:19:04,1336435560287300608,2015-01-01 14:28:22,15,Yes
2015-01-01 14:19:34,8263688097786414080,n/a,1,No
2015-01-01 14:19:57,5019991659886746624,2015-01-01 14:20:02,1,No
2015-01-01 14:22:07,8537281939893923840,n/a,1,No
2015-01-01 14:22:34,2262730465697349632,2015-01-01 14:23:41,4,No
2015-01-01 14:23:39,4448055788759653376,2015-01-01 14:29:05,10,No
2015-01-01 14:23:43,6493420439964382208,2015-01-01 14:23:49,1,No
2015-01-01 14:24:08,5660121142296366080,2015-01-01 14:25:24,4,No
2015-01-01 14:25:03,4969576955448595456,n/a,9,No
2015-01-01 14:25:40,7031339018756908032,n/a,5,No
2015-01-01 14:24:50,6996038567533210624,2015-01-01 14:26:57,6,No
2015-01-01 14:25:18,7195081590926087168,2015-01-01 14:25:24,1,No
2015-01-01 14:26:02,2927281514475619328,2015-01-01 14:27:57,3,Yes
2015-01-01 14:26:11,6985929538244262912,2015-01-01 14:27:15,1,No
2015-01-01 14:26:57,15586317753607168,2015-01-01 14:29:09,10,No
2015-01-01 14:28:08,3539123981191882752,2015-01-01 14:31:59,3,No
2015-01-01 14:27:35,2841439799413426176,2015-01-01 14:28:58,9,No
2015-01-01 14:27:55,4297185386667751424,2015-01-01 14:30:58,3,No
2015-01-01 14:27:57,6159059712038125568,2015-01-01 14:28:01,1,No
2015-01-01 14:28:32,4404022456468277248,2015-01-01 14:30:11,6,No
2015-01-01 14:29:28,1265334403526969344,n/a,7,No
2015-01-01 14:28:36,8381391431120416768,2015-01-01 14:30:47,5,No
2015-01-01 14:30:12,912834479392877568,2015-01-01 14:31:34,1,No
2015-01-01 14:29:43,6327004411842428928,2015-01-01 14:31:12,10,No
2015-01-01 14:29:39,8628302733766106112,2015-01-01 14:29:40,1,No
2015-01-01 14:30:05,7634632099764566016,2015-01-01 14:30:10,1,No
2015-01-01 14:30:45,7672014691629085696,2015-01-01 14:35:05,19,Yes
2015-01-01 14:30:25,7341335090516096000,2015-01-01 14:37:07,6,No
2015-01-01 14:30:57,785163157694889984,2015-01-01 14:32:22,8,No
2015-01-01 14:31:09,2870695833427115008,2015-01-01 14:33:20,8,No
2015-01-01 14:31:27,1834250158767283200,2015-01-01 14:32:33,5,No
2015-01-01 14:31:58,4713953334662818816,n/a,18,Yes
2015-01-01 14:33:28,4962735749482859520,2015-01-01 14:33:30,1,No
2015-01-01 14:33:27,5845027223623486464,2015-01-01 14:34:58,2,No
2015-01-01 14:34:12,6781489580868239360,2015-01-01 14:36:17,9,No
2015-01-01 14:34:52,7915618784083451904,2015-01-01 14:39:29,4,No
2015-01-01 14:34:27,4121391798126577664,2015-01-01 14:35:53,3,No
2015-01-01 14:34:27,4917389021088514048,2015-01-01 14:36:18,7,No
2015-01-01 14:35:04,1662122859350440960,2015-01-01 14:37:43,4,No
2015-01-01 14:35:00,4140629392244560896,2015-01-01 14:36:30,10,No
2015-01-01 14:35:54,8712076754807014400,2015-01-01 14:36:04,1,No
2015-01-01 14:37:08,3014680360441951232,2015-01-01 14:37:15,1,No
2015-01-01 14:36:26,2769158589148559360,2015-01-01 14:38:17,6,No
2015-01-01 14:37:33,3446685027846093824,2015-01-01 14:37:45,1,No
2015-01-01 14:37:24,5591667232817900544,2015-01-01 14:43:38,9,No
2015-01-01 14:38:00,4625104215597689856,2015-01-01 14:39:19,9,No
2015-01-01 14:37:40,7586694402195310592,2015-01-01 14:37:55,1,No
2015-01-01 14:39:23,1314403828875060224,2015-01-01 14:41:16,8,No
2015-01-01 14:39:26,7498087566410862592,2015-01-01 14:40:36,1,No
2015-01-01 14:40:15,352359301402041344,2015-01-01 14:40:16,1,No
2015-01-01 14:40:39,5098115143380933632,2015-01-01 14:40:55,1,No
2015-01-01 14:42:35,8644262935815490560,2015-01-01 14:45:52,19,Yes
2015-01-01 14:43:08,7193743971134923776,2015-01-01 14:43:44,1,No
2015-01-01 14:43:08,905632126401293312,n/a,7,No
2015-01-01 14:45:05,5565078277991801856,2015-01-01 14:48:15,3,No
2015-01-01 14:45:03,7291077566123888640,n/a,9,No
2015-01-01 14:45:07,6514697187093778432,2015-01-01 14:47:32,6,No
2015-01-01 14:47:34,6082053000907389952,2015-01-01 14:49:43,5,No
2015-01-01 14:47:48,4261403257668262912,2015-01-01 14:48:23,1,No
2015-01-01 14:47:08,5957867539665433600,2015-01-01 14:48:33,9,No
2015-01-01 14:48:04,8623054135838041088,2015-01-01 14:52:30,19,Yes
2015-01-01 14:48:15,5167123535762191360,2015-01-01 14:52:47,8,No
2015-01-01 14:48:52,6724763207312761856,2015-01-01 14:52:27,6,No
2015-01-01 14:49:15,8435915106788781056,2015-01-01 14:53:14,9,No
2015-01-01 14:49:29,7663676655096947712,2015-01-01 14:50:36,2,No
2015-01-01 14:49:54,2786143083036008448,2015-01-01 14:51:54,6,No
2015-01-01 14:50:30,2740560117968857088,2015-01-01 14:53:58,1,No
2015-01-01 14:50:49,6782704650549704704,2015-01-01 14:55:28,10,No
2015-01-01 14:51:09,8819740454091098112,2015-01-01 14:53:55,8,No
2015-01-01 14:52:05,4507642073477522432,2015-01-01 14:52:07,1,No
2015-01-01 14:53:19,5287184499374255104,2015-01-01 14:55:16,5,No
2015-01-01 14:52:41,949463849256194048,2015-01-01 14:54:38,3,No
2015-01-01 14:52:56,2685489689515486208,2015-01-01 14:56:17,2,No
2015-01-01 14:54:22,670486134671115264,2015-01-01 14:58:22,8,No
2015-01-01 14:55:41,3821917125138731008,2015-01-01 14:55:46,1,No
2015-01-01 14:55:56,7786197627554739200,2015-01-01 14:58:24,8,No
2015-01-01 14:55:54,246599319315810304,2015-01-01 15:02:12,4,No
2015-01-01 14:56:29,71779462969279488,2015-01-01 15:03:40,5,No
2015-01-01 14:57:49,3632950019013200896,2015-01-01 14:59:52,2,No
2015-01-01 15:00:42,5304714122469915648,2015-01-01 15:06:02,1,No
2015-01-01 15:02:05,692112602944142336,2015-01-01 15:02:05,1,No
2015-01-01 15:02:50,5775844822399851520,2015-01-01 15:02:56,1,No
2015-01-01 15:02:44,4843598804139821056,2015-01-01 15:07:02,7,No
2015-01-01 15:03:17,397936015733697536,2015-01-01 15:04:39,8,No
2015-01-01 15:04:22,5340912117328794624,2015-01-01 15:09:06,9,No
2015-01-01 15:03:56,3685864363860773888,2015-01-01 15:05:00,6,No
2015-01-01 15:04:59,6685000764652792832,2015-01-01 15:05:01,1,No
2015-01-01 15:04:44,3505709110620538880,2015-01-01 15:04:46,1,No
2015-01-01 15:04:55,8612996626278234112,2015-01-01 15:05:17,1,No
2015-01-01 15:04:54,5381988245915197440,2015-01-01 15:09:16,3,No
2015-01-01 15:05:37,2646550070067445760,2015-01-01 15:15:55,2,No
2015-01-01 15:06:59,5074950095879717888,2015-01-01 15:08:41,1,No
2015-01-01 15:06:53,1756304449183237120,2015-01-01 15:09:04,9,No
2015-01-01 15:09:42,2727733243412146176,2015-01-01 15:09:51,1,No
2015-01-01 15:10:08,2685998317161785344,2015-01-01 15:12:31,10,No
2015-01-01 15:10:45,7771884771720213504,2015-01-01 15:12:51,7,No
2015-01-01 15:11:14,6314344283538466816,2015-01-01 15:11:54,1,No
2015-01-01 15:11:40,7345274621345527808,n/a,6,No
2015-01-01 15:12:09,5424114546721822720,2015-01-01 15:20:07,5,No
2015-01-01 15:13:01,1257945739140638720,2015-01-01 15:13:25,1,No
2015-01-01 15:13:34,7068321970423752704,2015-01-01 15:16:43,7,No
2015-01-01 15:13:22,4452382937506991104,2015-01-01 15:14:43,12,Yes
2015-01-01 15:14:13,8206325889574784000,2015-01-01 15:14:14,1,No
2015-01-01 15:14:31,717362900056597504,2015-01-01 15:19:08,9,No
2015-01-01 15:14:32,3454486890577081344,2015-01-01 15:14:38,1,No
2015-01-01 15:14:35,5343667823727996928,2015-01-01 15:18:25,2,No
2015-01-01 15:15:18,8998137708550880256,2015-01-01 15:17:34,8,Yes
2015-01-01 15:15:55,6736193470889340928,2015-01-01 15:16:05,1,No
2015-01-01 15:16:13,4621650945554293760,2015-01-01 15:22:12,8,Yes
2015-01-01 15:16:31,6697333235743230976,2015-01-01 15:18:11,9,No
2015-01-01 15:16:34,7767423871918889984,2015-01-01 15:16:35,1,No
2015-01-01 15:17:08,3333180015895402496,2015-01-01 15:19:12,10,No
2015-01-01 15:16:53,8466212875904992256,2015-01-01 15:17:04,1,No
2015-01-01 15:17:33,4757397997236984832,2015-01-01 15:17:38,1,No
2015-01-01 15:17:40,2535877302561093632,2015-01-01 15:17:53,1,No
2015-01-01 15:18:30,6372401377795768320,2015-01-01 15:22:41,2,No
2015-01-01 15:18:18,3753361955163137024,2015-01-01 15:19:30,5,No
2015-01-01 15:18:35,7893661897315690496,2015-01-01 15:18:44,1,No
2015-01-01 15:18:48,4136252999293289472,2015-01-01 15:33:54,11,Yes
2015-01-01 15:19:35,7581300252629125120,2015-01-01 15:22:26,10,No
2015-01-01 15:19:37,1848448027683629056,2015-01-01 15:22:18,9,No
2015-01-01 15:20:46,3907506976386111488,2015-01-01 15:23:12,8,No
2015-01-01 15:20:46,2391497829429622784,2015-01-01 15:22:21,9,No
2015-01-01 15:20:58,7476842871772819456,2015-01-01 15:25:21,10,No
2015-01-01 15:22:28,3760541210811520000,2015-01-01 15:22:34,1,No
2015-01-01 15:22:44,8852476274531551232,n/a,10,No
2015-01-01 15:22:52,6935804633227891712,2015-01-01 15:23:07,1,No
2015-01-01 15:22:59,2931218318579033088,2015-01-01 15:25:03,3,No
2015-01-01 15:23:42,2986787771700143104,2015-01-01 15:23:50,1,No
2015-01-01 15:23:53,1542263051329454080,2015-01-01 15:24:56,4,No
2015-01-01 15:25:05,4457262020563703808,2015-01-01 15:25:05,1,No
2015-01-01 15:26:01,8665626223042241536,2015-01-01 15:26:02,1,No
2015-01-01 15:26:31,2219426777418739712,2015-01-01 15:37:44,6,No
2015-01-01 15:26:55,8976648702924484608,2015-01-01 15:27:00,1,No
2015-01-01 15:26:32,5650552724815055872,n/a,6,No
2015-01-01 15:27:28,8816362139209981952,2015-01-01 15:27:34,1,No
2015-01-01 15:26:53,885450422458921984,2015-01-01 15:30:22,10,No
2015-01-01 15:30:03,7381645263309551616,2015-01-01 15:30:22,1,No
2015-01-01 15:29:30,3175131416196659200,n/a,11,Yes
2015-01-01 15:30:10,5978025646598362112,2015-01-01 15:35:43,3,No
2015-01-01 15:30:56,1149385966395756544,2015-01-01 15:31:06,1,No
2015-01-01 15:33:21,6460309771945445376,2015-01-01 15:33:27,1,No
2015-01-01 15:31:36,3850205410990926848,2015-01-01 15:36:29,9,No
2015-01-01 15:32:10,3485473291618818048,2015-01-01 15:34:04,9,No
2015-01-01 15:32:41,8190971934909722624,2015-01-01 15:32:45,1,No
